# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
sort_indices_desc;(row_vector v);int[];358
sort_indices_desc;(vector v);int[];358
sqrt2;();real;311
sqrt;(real x);real;320
square;(real x);real;320
squared_distance;(row_vector x, row_vector y[]);real;335
squared_distance;(row_vector x, vector y[]);real;335
squared_distance;(vector x, row_vector y[]);real;335
squared_distance;(vector x, vector y);real;335
step;(real x);real;315
student_t;~;real;382
student_t_ccdf_log;(reals y, reals nu, reals mu, reals sigma);real;382
student_t_cdf;(reals y, reals nu, reals mu, reals sigma);real;382
student_t_cdf_log;(reals y, reals nu, reals mu, reals sigma);real;382
student_t_log;(reals y, reals nu, reals mu, reals sigma);real;382
student_t_rng;(real nu, real mu, real sigma);real;382
sub_col;(matrix x, int i, int j, int n_rows);vector;351
sub_row;(matrix x, int i, int j, int n_cols);row_vector;352
sum;(int x[]);int;333
sum;(matrix x);real;349
sum;(real x[]);real;333
sum;(row_vector x);real;349
sum;(vector x);real;349
tail;(T[] sv, int n);T[];352
tail;(row_vector rv, int n);row_vector;352
tail;(vector v, int n);vector;352
tan;(real x);real;322
tanh;(real x);real;324
tcrossprod;(matrix x);matrix;346
tgamma;(real x);real;327
to_array_1d;(int[...] a);int[];361
to_array_1d;(matrix m);real[];361
to_array_1d;(real[...] a);real[];361
to_array_1d;(row_vector v);real[];361
to_array_1d;(vector v);real[];361
to_array_2d;(matrix m);real[,];361
to_matrix;(int[,] a);matrix;360
to_matrix;(matrix m);matrix;360
to_matrix;(real[,] a);matrix;360
to_matrix;(row_vector v);matrix;360
to_matrix;(vector v);matrix;360
to_row_vector;(int[] a);row_vector;361
to_row_vector;(matrix m);row_vector;361
to_row_vector;(real[] a);row_vector;361
to_row_vector;(row_vector v);row_vector;361
to_row_vector;(vector v);row_vector;361
to_vector;(int[] a);vector;360
to_vector;(matrix m);vector;360
to_vector;(real[] a);vector;360
to_vector;(row_vector v);vector;360
to_vector;(vector v);vector;360
trace;(matrix A);real;356
trace_gen_quad_form;(matrix D,matrix A, matrix B);real;347
trace_quad_form;(matrix A, matrix B);real;347
trigamma;(real x);real;327
trunc;(real x);real;320
uniform;~;real;403
uniform_ccdf_log;(reals y, reals alpha, reals beta);real;403
uniform_cdf;(reals y, reals alpha, reals beta);real;403
uniform_cdf_log;(reals y, reals alpha, reals beta);real;403
uniform_log;(reals y, reals alpha, reals beta);real;403
uniform_rng;(real alpha, real beta);real;403
variance;(matrix x);real;349
variance;(real x[]);real;334
variance;(row_vector x);real;349
variance;(vector x);real;349
von_mises;~;real;401
von_mises_log;(reals y, reals mu, reals kappa);real;401
von_mises_rng;(reals mu, reals kappa);real;401
weibull;~;real;393
weibull_ccdf_log;(reals y, reals alpha, reals sigma);real;393
weibull_cdf;(reals y, reals alpha, reals sigma);real;393
weibull_cdf_log;(reals y, reals alpha, reals sigma);real;393
weibull_log;(reals y, reals alpha, reals sigma);real;393
weibull_rng;(real alpha, real sigma);real;393
wiener;~;real;396
wiener_log;(reals y, reals alpha, reals tau, reals beta, reals delta);real;396
wishart;~;real;415
wishart_log;(matrix W, real nu, matrix Sigma);real;415
wishart_rng;(real nu, matrix Sigma);matrix;415
