# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta_adagrad = 0.5
#     tol_rel_obj = 0.014999999999999999
#     eval_elbo = 10
#     output_samples = 1000 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_mf.csv
#   diagnostic_file = elbo_mf.csv
#   refresh = 100 (Default)
lp__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-17831.3,0.375768,0.357849,0.266383,15.8554,-7.01923,-2.00825,17.097,4.97903,-16.023,19.1058,8.56338,17.7549,12.5289,6.86712,16.9546
-17840.7,0.375591,0.35691,0.267499,14.9166,-7.72087,-4.66477,16.7507,5.15539,-19.0024,19.2295,8.69847,17.9593,12.358,7.15072,16.7088
-17837.3,0.374133,0.358482,0.267385,15.1907,-5.94161,-4.0363,17.1793,5.06302,-15.3609,19.1891,7.96838,17.7783,12.3962,7.35873,16.6368
-17844.9,0.37997,0.353291,0.266739,15.5439,-6.51939,-2.53938,15.2053,5.139,-17.059,19.0901,9.65865,18.0037,12.2924,7.11504,16.5851
-17837.2,0.375211,0.356194,0.268595,15.7749,-6.85983,-2.40206,15.1826,5.34112,-13.4001,19.0775,8.73745,18.3809,12.6032,7.34303,16.4025
-17886.8,0.376143,0.355194,0.268663,18.2136,-6.79742,-4.01211,16.0773,5.24485,-16.185,20.795,9.1267,18.2265,12.3231,7.07903,16.9747
-17823.6,0.377513,0.355279,0.267208,16.9351,-6.7266,-3.783,17.3719,5.05806,-15.7561,19.1681,8.90803,18.2214,12.4239,6.87117,16.2602
-17832.6,0.376499,0.355096,0.268405,17.9631,-6.67454,-3.77686,18.7864,5.08061,-15.3108,19.2997,8.55181,18.0645,12.4336,7.36349,16.2712
-17879.6,0.375476,0.359651,0.264872,14.2192,-6.99733,-3.09738,17.7006,5.12739,-16.8462,19.7699,8.67619,18.0348,12.3744,7.16959,17.0395
-17830.3,0.377302,0.35488,0.267818,15.0539,-6.7297,-5.2189,14.8351,5.15486,-16.6812,19.0676,9.47519,17.9228,12.5471,7.24192,16.671
-17864.3,0.37581,0.358641,0.265548,16.4847,-7.77945,-2.39896,15.859,4.96803,-15.3329,19.5784,7.6273,17.8162,12.5864,6.98427,16.5749
-17843.4,0.376312,0.357439,0.266249,16.3051,-7.29291,-5.21052,17.0573,5.28097,-15.4692,18.7792,8.72418,17.9862,12.4614,7.07986,16.7089
-17872,0.374302,0.359282,0.266416,17.2521,-7.66191,-3.12033,17.007,4.91375,-18.0538,19.785,8.72854,18.0584,12.4209,7.32195,16.9322
-17841.9,0.376907,0.355067,0.268026,15.2268,-7.05166,-2.21709,17.0368,5.01101,-16.0115,19.2102,8.26777,18.2859,12.3835,7.25782,16.8019
-17846.5,0.375088,0.358052,0.26686,15.5982,-7.61819,-5.28033,18.5776,5.19048,-15.5525,19.4954,9.06582,17.6159,12.4196,7.233,16.6127
-17811.3,0.373003,0.354154,0.272843,15.074,-7.04644,-7.7544,15.8493,5.1348,-14.0994,19.5368,8.28575,18.0229,12.3073,7.16661,16.4935
-17842.7,0.374045,0.358902,0.267053,14.9422,-7.21386,-2.71625,16.1643,5.05536,-17.0431,19.4159,9.45955,18.2243,12.3413,6.97477,17.0224
-17878.9,0.37853,0.355195,0.266274,16.517,-7.03376,-7.3729,15.5065,5.05167,-16.1457,19.3363,8.53118,18.2073,12.3626,6.95932,16.8483
-17819.1,0.374133,0.356845,0.269022,14.6145,-6.4609,-6.0137,17.2933,5.08029,-16.6804,19.307,9.32544,18.4716,12.3725,7.11851,16.4132
-17862.8,0.37806,0.354982,0.266959,16.1576,-7.39945,-6.86965,16.1097,5.07576,-14.8321,19.9699,9.30106,18.2036,12.5501,6.80424,16.2937
-17860.7,0.373771,0.358172,0.268057,15.1409,-6.76005,-3.84519,16.8297,5.05621,-13.9785,20.2529,8.88526,18.1634,12.5618,7.09779,17.0697
-17869,0.375891,0.356573,0.267536,17.2261,-6.89203,-2.84238,15.6799,4.96054,-15.9797,19.6094,9.20777,18.3424,12.2272,7.02311,17.3117
-17823.2,0.374571,0.35611,0.269319,17.0051,-7.68009,-6.19868,16.3159,5.1041,-15.873,18.7585,10.067,17.8762,12.3653,7.44606,16.5639
-17849.6,0.375004,0.358412,0.266584,14.8486,-7.05567,-2.71859,17.7058,5.14664,-15.6081,19.1335,8.48422,18.2767,12.6004,7.21969,16.9103
-17801.3,0.375792,0.354376,0.269832,16.7997,-7.64533,-5.10607,17.841,5.18156,-16.0509,18.9193,8.54925,17.5479,12.4078,7.10056,16.5653
-17823.1,0.374954,0.356041,0.269005,14.6644,-6.94928,-3.75978,16.2649,5.18721,-16.0107,19.1182,8.61291,18.6351,12.5573,7.29258,16.4937
-17812.9,0.373683,0.356105,0.270212,16.6348,-7.77334,-2.72199,16.819,5.01932,-14.4155,19.391,9.38869,17.8236,12.4133,7.3291,16.7124
-17789.3,0.373728,0.357256,0.269016,15.3884,-7.01765,-3.59967,16.267,5.05723,-15.7124,19.031,9.13256,17.8771,12.5878,6.88444,16.5885
-17884.8,0.375862,0.359419,0.264719,17.2126,-6.89039,-5.52141,16.9398,4.8685,-14.0627,20.0721,9.17568,17.6632,12.4223,7.14584,16.6647
-17828.8,0.373974,0.356368,0.269657,15.7355,-8.05507,-6.74999,16.4017,4.893,-15.6655,19.3721,8.36683,18.2936,12.5544,7.21273,16.4202
-17847.4,0.375765,0.356999,0.267236,15.9931,-7.50375,-3.41821,15.1624,5.05755,-15.2533,19.4964,9.59139,18.1828,12.4695,7.07885,16.6837
-17845.3,0.37489,0.357056,0.268054,13.9589,-7.32291,-1.56848,16.0072,5.17953,-15.7533,20.3315,8.77858,17.904,12.3367,6.9872,16.702
-17828.1,0.371585,0.361469,0.266946,15.9721,-7.17531,-5.44028,17.6871,4.99216,-15.694,19.573,9.18752,17.8541,12.5165,7.20367,16.2896
-17821.6,0.372462,0.359698,0.26784,17.7621,-7.12847,-5.96207,15.695,5.07236,-17.7093,19.3832,9.10382,17.7417,12.4706,7.0654,16.2547
-17825.6,0.374363,0.356204,0.269433,14.7187,-6.84479,-5.8042,16.9176,5.03167,-16.4019,19.4113,8.62006,18.201,12.5477,7.22668,16.809
-17854.6,0.374846,0.355666,0.269488,16.5172,-8.27969,-4.83144,15.6414,4.94532,-13.7357,20.1392,8.66834,17.8512,12.4499,7.12064,16.8941
-17786.5,0.372715,0.354766,0.272519,15.6456,-7.13589,-3.96096,16.0517,5.13548,-14.7862,19.7764,9.434,17.8575,12.3742,7.04591,16.5721
-17845.4,0.373295,0.358378,0.268327,13.7717,-7.12537,-2.69225,16.8981,5.13285,-14.8813,19.9439,9.21913,18.4998,12.5447,6.95885,16.9811
-17864.2,0.3769,0.356339,0.266761,16.5569,-8.96036,-3.37994,16.0347,5.08462,-14.5967,19.6021,8.2133,18.1433,12.4411,6.91032,16.4722
-17854.5,0.37605,0.355995,0.267955,17.1809,-8.19234,-2.33231,16.409,5.16815,-16.3808,20.0157,8.76383,17.6579,12.5189,7.00056,16.9974
-17863.6,0.376541,0.356797,0.266662,15.8622,-7.28837,-4.68317,16.9254,5.06902,-18.5517,19.7681,9.3023,18.0173,12.3684,6.95793,17.0162
-17839.3,0.374706,0.358086,0.267209,17.6001,-7.17938,-2.67514,17.9354,5.08453,-15.7507,19.1777,9.14573,17.8085,12.4952,7.0141,17.1727
-17859.7,0.375517,0.357312,0.267171,18.6081,-6.78005,-2.05723,15.8984,5.15978,-14.772,19.4301,8.86881,18.1147,12.6126,7.21406,16.7328
-17835.9,0.376333,0.356285,0.267381,17.1103,-6.98744,-4.21648,16.9427,5.03747,-16.3701,20.3611,9.25489,17.2659,12.4856,6.99912,16.3789
-17826.6,0.373998,0.357614,0.268388,16.693,-7.52108,-3.41473,18.9584,4.95744,-17.0442,19.2535,8.61086,17.9482,12.4161,7.11972,16.8236
-17841.3,0.372002,0.359517,0.268481,15.1667,-7.68574,-6.74854,16.8557,5.11448,-16.1847,19.902,8.82239,18.1089,12.576,7.16127,16.4416
-17811.9,0.374612,0.356733,0.268655,17.0583,-6.98249,-2.793,16.2484,5.18526,-14.8551,19.5451,9.05436,17.7873,12.5886,6.49088,16.8262
-17834.4,0.374508,0.356397,0.269095,16.9777,-6.86361,-3.60266,17.9279,5.03231,-17.5794,20.2403,9.83425,18.4507,12.4214,7.05935,16.2551
-17813,0.375424,0.358319,0.266258,16.8958,-8.35753,-3.17163,17.9785,4.90114,-16.8005,18.3536,9.00772,18.0814,12.4845,6.64361,16.655
-17820.9,0.375824,0.356546,0.26763,17.5176,-6.15158,-3.46093,17.0723,5.11163,-16.5647,18.2357,7.96755,17.8844,12.4461,6.77226,17.0424
-17840.9,0.378347,0.356175,0.265478,17.6133,-8.02984,-4.50384,16.1374,4.93395,-16.7268,19.3013,9.13223,17.84,12.572,6.75141,16.2793
-17817.3,0.372955,0.357425,0.26962,17.2225,-7.27563,-2.54651,15.7158,4.8967,-14.8747,19.5937,9.60649,17.7231,12.3574,6.98071,16.9505
-17835.7,0.371333,0.355675,0.272992,16.3316,-6.93497,-7.05063,16.9739,5.28842,-17.9408,19.9516,8.41257,17.8382,12.5518,7.1911,17.5368
-17889.5,0.380397,0.356514,0.263089,15.9845,-6.58396,-5.2465,16.1947,5.20479,-15.4078,19.1486,8.96514,17.9824,12.4899,7.25695,16.5369
-17842.2,0.373957,0.357243,0.2688,16.0638,-7.58634,-5.49752,17.5103,4.90547,-17.2211,20.0015,8.41575,17.8435,12.5113,7.17237,16.7463
-17822.3,0.374077,0.356604,0.269319,15.5894,-8.0359,-4.02955,16.1625,5.09588,-15.0848,19.0578,8.41555,18.6157,12.4658,7.1334,16.4703
-17841.6,0.377844,0.355288,0.266867,14.803,-7.49483,-4.2909,17.2901,5.00286,-14.8587,18.3924,8.81899,18.2586,12.4983,7.17971,17.1361
-17801.3,0.37493,0.356101,0.268969,16.2043,-7.06699,-4.67993,17.946,4.76403,-15.9732,18.9425,8.67021,17.6696,12.3746,7.18829,16.6616
